ano_idx,exp_subspace
5,[5]
9,"[1, 2, 3, 6]"
12,"[0, 2, 3, 6, 7]"
15,"[1, 2, 3, 7]"
16,[7]
20,"[1, 2, 3, 5, 7]"
21,"[0, 2, 7]"
22,"[0, 2, 4, 6]"
23,"[0, 3, 6, 7]"
24,"[2, 3, 6, 7]"
26,"[0, 1, 6]"
27,"[0, 2, 3, 7]"
29,[1]
32,[7]
34,"[0, 1, 6]"
37,"[0, 2, 3, 6]"
50,"[1, 2, 3, 6]"
53,"[0, 2, 6, 7]"
54,"[0, 1, 2, 6]"
55,"[0, 1, 2, 6]"
56,"[0, 1, 3, 7]"
57,"[1, 3, 6, 7]"
58,"[0, 2, 3, 4, 7]"
64,"[0, 2, 3]"
65,"[0, 1, 2]"
66,"[0, 2, 3, 6, 7]"
67,"[1, 2, 3, 7]"
68,"[1, 2, 3, 6, 7]"
70,"[1, 2, 6, 7]"
71,"[0, 1, 6]"
89,"[0, 3, 6, 7]"
90,"[0, 2, 3, 7]"
92,"[0, 2, 3, 6, 7]"
94,"[0, 1, 7]"
99,[6]
102,"[3, 6]"
104,"[1, 2, 3, 6, 7]"
106,"[1, 2, 3, 6, 7]"
107,"[0, 1, 2, 7]"
108,"[0, 1, 2, 3, 6]"
109,"[0, 1, 6]"
129,"[3, 7]"
130,"[1, 2, 3, 6]"
131,"[0, 1, 3]"
132,"[0, 6]"
135,"[0, 1, 6]"
138,"[0, 1, 2, 3, 7]"
140,"[0, 2, 3, 6, 7]"
144,"[0, 1, 2, 3, 6, 7]"
146,"[0, 3, 6]"
147,"[0, 1, 3, 6]"
151,[7]
153,[7]
156,"[1, 2, 3, 7]"
160,[2]
161,[2]
162,"[0, 3, 6, 7]"
171,"[0, 1, 2, 6]"
172,"[0, 1, 6]"
173,[0]
179,[3]
180,"[0, 2]"
181,"[1, 3, 6, 7]"
182,"[0, 1, 3, 7]"
183,[3]
184,"[1, 2, 6]"
185,"[0, 1, 3, 7]"
186,"[0, 1, 3, 7]"
187,"[0, 6]"
188,"[0, 1, 2, 6]"
189,"[0, 3, 6, 7]"
190,"[0, 1, 2, 6]"
192,"[1, 2, 6, 7]"
213,"[2, 6, 7]"
214,"[0, 1, 6]"
215,"[1, 2, 3, 6, 7]"
218,[1]
223,[6]
224,"[0, 1, 6]"
235,"[0, 1, 2, 3, 6]"
236,[2]
237,[2]
243,"[1, 3, 7]"
244,"[0, 1, 7]"
245,"[1, 2, 3, 7]"
261,"[0, 2, 3, 6, 7]"
262,"[0, 1]"
270,"[1, 2, 3, 6]"
273,"[0, 2, 3, 6, 7]"
277,"[0, 2, 3, 6, 7]"
278,[7]
281,"[0, 1, 2]"
282,[7]
283,"[0, 1, 2, 6, 7]"
284,"[0, 3, 6, 7]"
289,"[0, 1, 3]"
291,"[0, 1, 2, 3, 6]"
293,"[1, 3, 6, 7]"
297,"[0, 2, 3, 6, 7]"
299,"[0, 3, 6, 7]"
306,[4]
307,"[0, 2, 3, 7]"
308,"[0, 1, 2, 7]"
309,"[0, 1, 2, 3]"
310,[0]
311,"[1, 2, 6, 7]"
