ano_idx,exp_subspace
5,[4]
9,[4]
12,[4]
15,[4]
16,[4]
20,[4]
21,[4]
22,[4]
23,[4]
24,[4]
26,[4]
27,[4]
29,[4]
32,[4]
34,[4]
37,[4]
50,[4]
53,[4]
54,[4]
55,[4]
56,[4]
57,[4]
58,[4]
64,[4]
65,[4]
66,[4]
67,[4]
68,[4]
70,[4]
71,[4]
89,[4]
90,[4]
92,[4]
94,[4]
99,[4]
102,[4]
104,[4]
106,[4]
107,[4]
108,[4]
109,[4]
129,[4]
130,[4]
131,[4]
132,[4]
135,[4]
138,[4]
140,[4]
144,[4]
146,[4]
147,[4]
151,[4]
153,[4]
156,[4]
160,[4]
161,[4]
162,[4]
171,[4]
172,[4]
173,[4]
179,[4]
180,[4]
181,[4]
182,[4]
183,[4]
184,[4]
185,[4]
186,[4]
187,[4]
188,[4]
189,[4]
190,[4]
192,[4]
213,[4]
214,[4]
215,[4]
218,[4]
223,[4]
224,[4]
235,[4]
236,[4]
237,[4]
243,[4]
244,[4]
245,[4]
261,[4]
262,[4]
270,[4]
273,[4]
277,[4]
278,[4]
281,[4]
282,[4]
283,[4]
284,[4]
289,[4]
291,[4]
293,[4]
297,[4]
299,[4]
306,[4]
307,[4]
308,[4]
309,[4]
310,[4]
311,[4]
312,[4]
313,[4]
321,[4]
322,[4]
325,[4]
327,[4]
328,[4]
329,[4]
331,[4]
333,[4]
334,[4]
336,[4]
337,[4]
338,[4]
342,[4]
346,[4]
348,[4]
349,[4]
350,[4]
351,[4]
352,[4]
353,[4]
354,[4]
355,[4]
362,[4]
364,[4]
365,[4]
366,[4]
368,[4]
369,[4]
370,[4]
371,[4]
372,[4]
374,[4]
377,[4]
379,[4]
380,[4]
381,[4]
382,[4]
384,[4]
387,[4]
388,[4]
391,[4]
396,[4]
400,[4]
401,[4]
403,[4]
404,[4]
413,[4]
424,[4]
426,[4]
429,[4]
430,[4]
434,[4]
440,[4]
441,[4]
453,[4]
456,[4]
464,[4]
467,[4]
470,[4]
482,[4]
486,[4]
491,[4]
492,[4]
